                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1494,                  3.779,                 1.9913,                0.25022,                 0.1708,                0.10015,                0.03302,                 2.3755,                 3.9437,                 2.3121,             0.00030255,             0.00030255,             0.00030255
                      1,                 2.1257,                 3.4023,                 1.9963,                0.23887,                0.17894,                 0.0908,                0.03392,                 2.3809,                 4.2388,                 2.3371,             0.00060256,             0.00060256,             0.00060256
                      2,                 2.1045,                 3.2568,                  1.986,                0.23872,                0.24567,                0.08916,                 0.0319,                 2.2767,                 4.4899,                  2.229,             0.00089956,             0.00089956,             0.00089956
                      3,                 2.0868,                 3.1662,                 1.9642,                0.30139,                0.24466,                0.11914,                0.05035,                 2.2698,                  4.484,                 2.1966,              0.0008955,              0.0008955,              0.0008955
                      4,                 2.0593,                 3.0974,                   1.96,                 0.3624,                0.22714,                0.14099,                0.05945,                 2.2226,                 3.4823,                 2.1202,              0.0008955,              0.0008955,              0.0008955
                      5,                 2.0039,                 3.0343,                 1.9308,                0.54232,                0.13983,                0.14449,                0.06285,                 2.1676,                 3.2672,                 2.1191,               0.000891,               0.000891,               0.000891
                      6,                 2.0117,                 2.9861,                 1.9183,                0.29866,                 0.2649,                0.11794,                0.05078,                 2.1811,                 3.9299,                 2.1094,              0.0008865,              0.0008865,              0.0008865
                      7,                 1.9727,                 2.9308,                 1.8858,                0.30335,                0.25051,                0.13778,                0.05706,                 2.1033,                 3.7489,                 2.0778,               0.000882,               0.000882,               0.000882
                      8,                 1.9505,                 2.8919,                 1.8817,                0.35609,                0.23092,                0.18162,                0.07311,                 2.1325,                 3.2304,                 2.0846,              0.0008775,              0.0008775,              0.0008775
                      9,                 1.9128,                 2.8476,                 1.8507,                0.39221,                0.24808,                0.17261,                0.07395,                 2.0986,                 3.0555,                 2.0683,               0.000873,               0.000873,               0.000873
                     10,                 1.8664,                 2.7587,                  1.804,                0.26318,                0.25248,                0.18844,                0.08248,                 2.0792,                 2.9868,                 2.0452,              0.0008685,              0.0008685,              0.0008685
                     11,                 1.8356,                 2.7159,                 1.7942,                0.41976,                0.23881,                0.19421,                0.07964,                 2.1115,                 2.9641,                  2.047,               0.000864,               0.000864,               0.000864
                     12,                 1.8023,                 2.6751,                 1.7738,                0.21657,                0.27654,                0.20837,                0.08648,                 2.0614,                 2.8691,                 2.0335,              0.0008595,              0.0008595,              0.0008595
                     13,                 1.8749,                 2.7132,                 1.8051,                0.25892,                0.28858,                0.21988,                 0.0895,                 2.0686,                 2.8436,                 2.0174,             0.00085501,             0.00085501,             0.00085501
                     14,                 1.8572,                 2.7155,                 1.8037,                   0.35,                0.25057,                0.22935,                0.09239,                 2.0504,                 2.7905,                 2.0022,             0.00085051,             0.00085051,             0.00085051
                     15,                 1.8405,                 2.6876,                 1.8002,                0.28471,                 0.2503,                 0.2103,                 0.0866,                 2.0592,                 2.8849,                 2.0589,             0.00084601,             0.00084601,             0.00084601
                     16,                 1.8384,                 2.6754,                 1.7947,                0.27124,                0.31816,                0.23481,                0.10039,                 2.0445,                 2.9001,                 1.9946,             0.00084151,             0.00084151,             0.00084151
                     17,                 1.8634,                 2.6786,                 1.8124,                 0.2542,                0.28309,                0.23443,                0.09421,                 2.0495,                 2.8354,                 1.9968,             0.00083701,             0.00083701,             0.00083701
                     18,                 1.8468,                 2.6715,                 1.7925,                0.28505,                0.31879,                0.23398,                0.09884,                 2.0306,                 2.7543,                 1.9765,             0.00083251,             0.00083251,             0.00083251
                     19,                 1.7856,                 2.5703,                 1.7413,                0.44867,                0.25528,                0.26039,                0.10839,                 2.0196,                 2.7234,                 1.9689,             0.00082801,             0.00082801,             0.00082801
                     20,                 1.7594,                 2.5387,                 1.7344,                0.46164,                0.28877,                 0.2562,                0.10953,                 2.0096,                 2.6837,                 1.9529,             0.00082351,             0.00082351,             0.00082351
                     21,                 1.7454,                  2.499,                 1.7129,                0.35049,                0.30887,                0.21379,                0.09883,                 1.9951,                 2.7622,                 1.9561,             0.00081901,             0.00081901,             0.00081901
                     22,                 1.6853,                 2.4013,                 1.6688,                0.45007,                0.25426,                 0.2626,                0.10857,                  2.017,                 2.6768,                  1.959,             0.00081451,             0.00081451,             0.00081451
                     23,                 1.6519,                 2.3606,                 1.6615,                0.39459,                 0.2847,                0.26008,                0.11798,                 2.0329,                 2.7088,                 1.9809,             0.00081001,             0.00081001,             0.00081001
                     24,                 1.6439,                 2.3282,                 1.6414,                0.39471,                0.30293,                0.27415,                0.11791,                 2.0169,                 2.7326,                 1.9635,             0.00080551,             0.00080551,             0.00080551
                     25,                 1.7629,                 2.4718,                 1.7244,                0.33071,                0.32507,                0.26557,                  0.122,                 2.0179,                  2.625,                 1.9698,             0.00080101,             0.00080101,             0.00080101
                     26,                 1.7571,                 2.4744,                 1.7225,                0.24967,                0.39335,                 0.2401,                0.10145,                 2.0183,                 2.6861,                 1.9697,             0.00079651,             0.00079651,             0.00079651
                     27,                 1.7299,                 2.4587,                 1.7023,                0.33275,                0.34477,                0.25932,                0.11311,                 1.9866,                 2.6528,                 1.9844,             0.00079201,             0.00079201,             0.00079201
                     28,                 1.7382,                 2.4512,                 1.7077,                0.33177,                0.35743,                0.27067,                0.11619,                 1.9853,                 2.6922,                 1.9445,             0.00078751,             0.00078751,             0.00078751
                     29,                 1.7468,                 2.4448,                 1.7168,                0.42141,                0.31616,                0.27756,                0.11943,                 2.0191,                 2.6727,                 1.9822,             0.00078301,             0.00078301,             0.00078301
                     30,                 1.7408,                 2.4455,                 1.7067,                0.30856,                0.37243,                0.25975,                0.11911,                 1.9913,                 2.6469,                 1.9438,             0.00077851,             0.00077851,             0.00077851
                     31,                 1.7774,                 2.4893,                 1.7319,                0.36902,                0.32798,                0.27524,                0.11529,                 1.9695,                 2.6308,                 1.9294,             0.00077401,             0.00077401,             0.00077401
                     32,                 1.7593,                  2.445,                 1.7118,                0.34658,                0.32771,                  0.257,                0.10641,                 1.9976,                 2.5948,                 1.9452,             0.00076951,             0.00076951,             0.00076951
                     33,                 1.7784,                 2.4524,                 1.7251,                 0.3591,                0.31327,                0.26175,                0.11396,                 1.9862,                 2.6465,                 1.9329,             0.00076501,             0.00076501,             0.00076501
                     34,                  1.755,                 2.4272,                 1.7133,                0.30943,                0.33386,                0.25924,                0.11133,                 1.9595,                 2.6268,                 1.9396,             0.00076051,             0.00076051,             0.00076051
                     35,                 1.7549,                 2.4484,                 1.7141,                0.34419,                0.31799,                0.26153,                0.11316,                 1.9946,                 2.5704,                 1.9506,             0.00075602,             0.00075602,             0.00075602
                     36,                 1.7629,                 2.4305,                 1.7136,                 0.2999,                0.35623,                0.25357,                0.11268,                  1.964,                 2.5714,                 1.9185,             0.00075152,             0.00075152,             0.00075152
                     37,                 1.7311,                 2.3761,                 1.6896,                0.37627,                0.33826,                0.27386,                0.11936,                 1.9806,                 2.5894,                 1.9372,             0.00074702,             0.00074702,             0.00074702
                     38,                 1.7377,                 2.3827,                 1.6997,                0.34715,                0.33655,                0.26551,                0.11604,                 1.9803,                 2.6033,                 1.9507,             0.00074252,             0.00074252,             0.00074252
                     39,                 1.7033,                 2.3675,                 1.6797,                0.42811,                0.31695,                0.28202,                0.11797,                 1.9591,                 2.6624,                 1.9177,             0.00073802,             0.00073802,             0.00073802
                     40,                 1.7331,                 2.3575,                 1.6847,                 0.3046,                0.42145,                 0.2924,                0.12262,                 1.9519,                 2.5428,                 1.9176,             0.00073352,             0.00073352,             0.00073352
                     41,                 1.7142,                 2.3261,                  1.678,                 0.3698,                0.35811,                0.30155,                0.13257,                 2.0088,                 2.5636,                 1.9474,             0.00072902,             0.00072902,             0.00072902
                     42,                 1.7209,                 2.3567,                 1.6928,                 0.3312,                0.37108,                  0.283,                0.11759,                 1.9625,                 2.5715,                 1.9348,             0.00072452,             0.00072452,             0.00072452
                     43,                 1.6965,                 2.3164,                  1.667,                0.36437,                0.38233,                0.30211,                0.12381,                 1.9693,                  2.663,                 1.9391,             0.00072002,             0.00072002,             0.00072002
                     44,                 1.7135,                  2.345,                  1.676,                 0.3262,                0.40554,                0.28881,                0.12563,                 1.9669,                 2.5773,                 1.9153,             0.00071552,             0.00071552,             0.00071552
                     45,                 1.6917,                 2.3181,                 1.6704,                0.38934,                0.37647,                0.31857,                0.12324,                 1.9672,                 2.5911,                 1.9275,             0.00071102,             0.00071102,             0.00071102
                     46,                 1.7113,                 2.3299,                 1.6748,                0.39527,                0.35155,                 0.3146,                 0.1356,                 1.9743,                 2.5259,                 1.9365,             0.00070652,             0.00070652,             0.00070652
                     47,                 1.6885,                 2.2804,                 1.6486,                0.32163,                0.40396,                0.28347,                0.11616,                 1.9532,                 2.5268,                 1.9135,             0.00070202,             0.00070202,             0.00070202
                     48,                  1.702,                  2.286,                 1.6611,                0.28454,                0.40945,                0.27588,                0.11841,                 2.0053,                 2.5507,                 1.9701,             0.00069752,             0.00069752,             0.00069752
                     49,                  1.696,                 2.2846,                 1.6583,                0.34493,                0.34333,                0.28428,                0.12266,                 1.9827,                 2.5817,                 1.9363,             0.00069302,             0.00069302,             0.00069302
                     50,                 1.6948,                 2.2761,                  1.661,                0.44012,                0.34368,                0.30933,                0.12953,                 1.9646,                 2.5456,                 1.9206,             0.00068852,             0.00068852,             0.00068852
                     51,                 1.6918,                 2.2746,                 1.6581,                0.32146,                0.40486,                0.30048,                0.13149,                  1.975,                 2.5698,                 1.9138,             0.00068402,             0.00068402,             0.00068402
                     52,                 1.6709,                 2.2305,                 1.6367,                0.30309,                0.38574,                0.29652,                0.13535,                 1.9695,                 2.5136,                 1.9165,             0.00067952,             0.00067952,             0.00067952
                     53,                 1.6698,                 2.2375,                 1.6338,                0.32678,                0.39427,                0.29284,                0.13326,                 1.9449,                 2.5662,                 1.9188,             0.00067502,             0.00067502,             0.00067502
                     54,                 1.6811,                 2.2373,                 1.6466,                0.34951,                0.37381,                0.27179,                0.11319,                 1.9699,                 2.5396,                  1.936,             0.00067052,             0.00067052,             0.00067052
                     55,                 1.6641,                 2.2202,                 1.6334,                0.42886,                0.36273,                0.31399,                0.13553,                 1.9645,                  2.474,                 1.9232,             0.00066602,             0.00066602,             0.00066602
                     56,                 1.6572,                 2.2037,                 1.6257,                 0.3707,                0.37117,                0.31879,                0.13678,                 1.9633,                 2.5182,                 1.9071,             0.00066152,             0.00066152,             0.00066152
                     57,                  1.647,                  2.185,                 1.6151,                0.31901,                0.42631,                0.31501,                0.12802,                 1.9804,                 2.5274,                 1.9298,             0.00065703,             0.00065703,             0.00065703
                     58,                 1.6031,                 2.1071,                 1.5876,                0.39886,                0.36305,                0.31925,                0.13933,                 1.9667,                 2.4682,                  1.917,             0.00065253,             0.00065253,             0.00065253
                     59,                 1.5926,                 2.1225,                  1.595,                0.37452,                0.35015,                0.31423,                0.14251,                 1.9765,                 2.5018,                 1.9287,             0.00064803,             0.00064803,             0.00064803
                     60,                 1.5862,                  2.089,                 1.5779,                0.35609,                 0.3881,                0.29566,                0.13345,                 1.9567,                  2.495,                 1.9063,             0.00064353,             0.00064353,             0.00064353
                     61,                 1.6066,                 2.0849,                 1.5835,                0.37099,                0.43335,                0.33161,                0.14458,                 1.9466,                 2.4694,                  1.885,             0.00063903,             0.00063903,             0.00063903
                     62,                 1.5992,                 2.0839,                 1.5818,                0.33084,                0.38823,                0.31667,                0.13411,                 1.9626,                 2.4884,                 1.8992,             0.00063453,             0.00063453,             0.00063453
                     63,                 1.5791,                 2.0665,                 1.5724,                0.35838,                0.37293,                0.29868,                0.13621,                  1.988,                 2.5068,                 1.9335,             0.00063003,             0.00063003,             0.00063003
                     64,                 1.5959,                 2.0844,                 1.5853,                0.36188,                0.39388,                0.31818,                 0.1379,                 1.9805,                 2.5448,                 1.9056,             0.00062553,             0.00062553,             0.00062553
                     65,                 1.6002,                 2.0696,                 1.5893,                0.40223,                 0.4238,                0.33829,                0.13926,                  1.965,                 2.4644,                 1.9067,             0.00062103,             0.00062103,             0.00062103
                     66,                 1.5789,                 2.0651,                 1.5686,                0.34026,                0.40539,                0.32484,                0.14622,                 1.9689,                  2.455,                 1.9005,             0.00061653,             0.00061653,             0.00061653
                     67,                 1.5926,                 2.0755,                 1.5792,                0.28802,                0.43357,                 0.3209,                0.14548,                 1.9681,                 2.5032,                 1.9144,             0.00061203,             0.00061203,             0.00061203
